total_meetings,lead_Score,customer_sentiment,buying_intent,relationship_strength,budget_status,decision_maker_involvement,customer_urgency,main_objections,product_interest_level,meeting_outcome,customer_requirements,risk_factors,competitor_mention,engagement_score,implementation_readiness,upsell_opportunity,deal_Score
1,19.9,Negative,Medium,2,Not Allocated,No,Medium,Unfavorable Contract Terms,Medium,Rescheduled,Standard Package,Technical Concerns,Yes,0,Not Ready,No,4
10,88.8,Positive,Medium,8,Fully Approved,Indirect,Medium,No Objections,High,Proposal Sent,Enterprise-grade Security,Internal Politics,No,69.9,Fully Ready,Yes,75
4,34.3,Neutral,Medium,2,Not Allocated,Indirect,Low,Price Too High; Budget Not Allocated; Missing Features; Security / Compliance Concerns,Low,Rescheduled,Customized Integration,Competitor Pressure,No,34.6,Partially Ready,No,1
2,0,Negative,Low,2,Not Allocated,No,Low,Long Implementation Time; Security / Compliance Concerns,Low,No Show / Cancelled,Compliance-driven Requirements,Economic Uncertainty,Yes,38.6,Not Ready,Yes,1
13,66.7,Positive,High,9,Partially Approved,Yes,Critical,No Objections,Very High,Verbal Agreement,API / Technical Integration,Budget Constraints,Yes,76.1,Fully Ready,Yes,72
15,92.7,Positive,High,8,Partially Approved,Yes,Critical,Budget Not Allocated; Long Implementation Time; Competitor Preference; No Urgent Business Need; Poor Past Experience / Support; Lack of Internal Buy-in,High,Verbal Agreement,Enterprise-grade Security,No Risk Identified,No,95.8,Fully Ready,Yes,56
9,10.9,Negative,Low,3,Not Allocated,No,Low,Missing Features,Medium,Discussed Requirements,Enterprise-grade Security,Internal Politics,Yes,43.9,Not Ready,No,8
9,34,Neutral,Medium,4,Not Allocated,No,High,No Objections,Medium,Rescheduled,API / Technical Integration,Technical Concerns,No,3.7,Not Ready,No,24
11,100,Positive,High,8,Fully Approved,Yes,Critical,No Objections,Very High,Verbal Agreement,Standard Package,No Risk Identified,Yes,80.1,Fully Ready,No,93
4,17,Neutral,Medium,2,Not Allocated,No,Medium,No Objections,Low,No Show / Cancelled,Enterprise-grade Security,No Risk Identified,Yes,9,Partially Ready,No,23
5,20.7,Negative,Low,3,Not Allocated,No,Medium,Price Too High; Unfavorable Contract Terms,Low,Discussed Requirements,Customized Integration,Economic Uncertainty,Yes,3.7,Not Ready,No,1
3,4.9,Negative,Low,3,Not Allocated,No,Low,Poor Past Experience / Support; Lack of Internal Buy-in,Low,No Show / Cancelled,API / Technical Integration,Internal Politics,No,14.3,Not Ready,No,1
3,11.9,Negative,Low,3,Under Review,No,Medium,Budget Not Allocated; Missing Features; Unfavorable Contract Terms; Competitor Preference,Low,No Show / Cancelled,Basic Feature Set,Economic Uncertainty,No,9.2,Not Ready,No,1
6,9,Negative,Low,3,Not Allocated,No,High,Price Too High; Budget Not Allocated; Lack of Internal Buy-in,Low,No Show / Cancelled,Multi-department Rollout,No Risk Identified,Yes,0,Partially Ready,No,1
2,3.2,Negative,Low,1,Not Allocated,No,Low,No Objections,Low,No Show / Cancelled,Customized Integration,Timeline Conflict,No,13.1,Not Ready,No,1
1,5.9,Negative,Low,1,Not Allocated,No,Low,Long Implementation Time; Unfavorable Contract Terms; Competitor Preference,Low,Rescheduled,Enterprise-grade Security,Budget Constraints,No,0,Not Ready,No,1
