row,total_meetings,lead_score,customer_sentiment,buying_intent,relationship_strength,budget_status,decision_maker_involvement,customer_urgency,main_objections,product_interest_level,meeting_outcome,customer_requirements,risk_factors,competitor_mention,engagement_score,implementation_readiness,upsell_opportunity,deal_score,predicted_deal_score,priority_band,recommended_action,absolute_error,error
1,3,28.1,Positive,Medium,10,Partially Approved,Yes,Low,No Objections,Very High,Proposal Sent,Compliance-driven Requirements,No Risk Identified,No,69.1,Partially Ready,Yes,70,68.23,MEDIUM,"Nurture - resolve open objections, confirm budget.",1.77,-1.769999999999996
2,10,66.8,Positive,Medium,8,Not Allocated,Yes,High,Price Too High; Security / Compliance Concerns; Unfavorable Contract Terms,High,Proposal Sent,Enterprise-grade Security,Technical Concerns,Yes,75.2,Ready,No,46,39.46,LOW,Qualify further before investing sales capacity.,6.54,-6.539999999999999
3,7,38.7,Neutral,Low,2,Not Allocated,Indirect,High,Budget Not Allocated; Missing Features,Medium,Discussed Requirements,API / Technical Integration,No Risk Identified,No,74.3,Partially Ready,No,36,37.7,LOW,Qualify further before investing sales capacity.,1.7,1.7000000000000028
4,11,45.1,Positive,High,9,Under Review,Yes,High,No Objections,High,Verbal Agreement,Standard Package,Budget Constraints,No,58.4,Fully Ready,No,69,65.39,MEDIUM,"Nurture - resolve open objections, confirm budget.",3.61,-3.6099999999999994
5,6,90.8,Positive,Medium,5,Fully Approved,Yes,Medium,No Objections,Very High,Discussed Requirements,Scalable Infrastructure,Economic Uncertainty,Yes,70.1,Ready,No,76,72.28,MEDIUM,"Nurture - resolve open objections, confirm budget.",3.72,-3.719999999999999
6,9,36.8,Positive,High,7,Under Review,Indirect,High,Lack of Internal Buy-in; Long Implementation Time,High,Proposal Sent,Customized Integration,No Risk Identified,No,30.9,Partially Ready,No,58,43.48,LOW,Qualify further before investing sales capacity.,14.52,-14.520000000000003
7,5,95.0,Neutral,High,3,Partially Approved,No,Medium,No Objections,Medium,Discussed Requirements,Compliance-driven Requirements,Technical Concerns,No,48.1,Not Ready,No,42,39.21,LOW,Qualify further before investing sales capacity.,2.79,-2.789999999999999
8,9,13.4,Neutral,Low,6,Not Allocated,Indirect,Medium,No Objections,High,Discussed Requirements,Basic Feature Set,Stakeholder Turnover,No,97.9,Ready,No,56,40.74,LOW,Qualify further before investing sales capacity.,15.26,-15.259999999999998
9,7,56.9,Negative,Medium,4,Partially Approved,No,High,Price Too High,Very High,Proposal Sent,Standard Package,No Risk Identified,No,59.1,Fully Ready,No,61,57.31,MEDIUM,"Nurture - resolve open objections, confirm budget.",3.69,-3.6899999999999977
10,4,79.0,Neutral,Medium,2,Partially Approved,No,Medium,No Urgent Business Need,High,Rescheduled,Basic Feature Set,No Risk Identified,No,57.8,Fully Ready,No,50,50.57,MEDIUM,"Nurture - resolve open objections, confirm budget.",0.57,0.5700000000000003
